# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $46\,\text{GeV}\leq m_{\ell\ell} < 66\,\text{GeV}$, $|y_{\ell\ell}| < 2.4$
RatioPlotReference=/ATLAS_2015_I1408516/d14-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$\phi^\ast_\eta$
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d}\phi^\ast_\eta$
XMin=0.001
DrawOnly=/ATLAS_2015_I1408516/d14-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin64_PSon-0.yoda/ATLAS_2015_I1408516/d14-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin64-0-0.yoda/ATLAS_2015_I1408516/d14-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSon.yoda/ATLAS_2015_I1408516/d14-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d14-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin64_PSon-0.yoda/ATLAS_2015_I1408516/d14-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/cascade2/YODA_files/hdamp1_pTmin64-0-0.yoda/ATLAS_2015_I1408516/d14-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSon.yoda/ATLAS_2015_I1408516/d14-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d14-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d14-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	6.941000e+00	3.873302e-01	3.873302e-01
4.000000e-03	8.000000e-03	6.819000e+00	1.969263e-01	1.969263e-01
8.000000e-03	1.200000e-02	6.793000e+00	1.563866e-01	1.563866e-01
1.200000e-02	1.600000e-02	6.507000e+00	1.309508e-01	1.309508e-01
1.600000e-02	2.000000e-02	6.498000e+00	1.376902e-01	1.376902e-01
2.000000e-02	2.400000e-02	6.428000e+00	1.234778e-01	1.234778e-01
2.400000e-02	2.900000e-02	6.261000e+00	1.077183e-01	1.077183e-01
2.900000e-02	3.400000e-02	5.900000e+00	1.038802e-01	1.038802e-01
3.400000e-02	3.900000e-02	5.934000e+00	1.069767e-01	1.069767e-01
3.900000e-02	4.500000e-02	5.324000e+00	8.748225e-02	8.748225e-02
4.500000e-02	5.100000e-02	5.159000e+00	8.648060e-02	8.648060e-02
5.100000e-02	5.700000e-02	4.874000e+00	8.399700e-02	8.399700e-02
5.700000e-02	6.400000e-02	4.499000e+00	7.365180e-02	7.365180e-02
6.400000e-02	7.200000e-02	4.231000e+00	6.926446e-02	6.926446e-02
7.200000e-02	8.100000e-02	3.805000e+00	6.229053e-02	6.229053e-02
8.100000e-02	9.100000e-02	3.526000e+00	5.761531e-02	5.761531e-02
9.100000e-02	1.020000e-01	3.202000e+00	5.241900e-02	5.241900e-02
1.020000e-01	1.140000e-01	2.856000e+00	4.913648e-02	4.913648e-02
1.140000e-01	1.280000e-01	2.549000e+00	3.957112e-02	3.957112e-02
1.280000e-01	1.450000e-01	2.122000e+00	3.218172e-02	3.218172e-02
1.450000e-01	1.650000e-01	1.817000e+00	2.980102e-02	2.980102e-02
1.650000e-01	1.890000e-01	1.512000e+00	2.479864e-02	2.479864e-02
1.890000e-01	2.190000e-01	1.240000e+00	2.136977e-02	2.136977e-02
