# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $46\,\text{GeV}\leq m_{\ell\ell} < 66\,\text{GeV}$, $|y_{\ell\ell}| < 0.8$
RatioPlotReference=/ATLAS_2015_I1408516/d02-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$\phi^\ast_\eta$
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d}\phi^\ast_\eta$
XMin=0.001
DrawOnly=/ATLAS_2015_I1408516/d02-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d02-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100_PSon-0.yoda/ATLAS_2015_I1408516/d02-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d02-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d02-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100_PSon-0.yoda/ATLAS_2015_I1408516/d02-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	6.778000e+00	4.360104e-01	4.360104e-01
4.000000e-03	8.000000e-03	6.662000e+00	2.248363e-01	2.248363e-01
8.000000e-03	1.200000e-02	6.781000e+00	1.959463e-01	1.959463e-01
1.200000e-02	1.600000e-02	6.561000e+00	1.773898e-01	1.773898e-01
1.600000e-02	2.000000e-02	6.540000e+00	1.742637e-01	1.742637e-01
2.000000e-02	2.400000e-02	6.327000e+00	1.710632e-01	1.710632e-01
2.400000e-02	2.900000e-02	6.102000e+00	1.477138e-01	1.477138e-01
2.900000e-02	3.400000e-02	5.682000e+00	1.405649e-01	1.405649e-01
3.400000e-02	3.900000e-02	5.868000e+00	1.471687e-01	1.471687e-01
3.900000e-02	4.500000e-02	5.263000e+00	1.211634e-01	1.211634e-01
4.500000e-02	5.100000e-02	5.032000e+00	1.170413e-01	1.170413e-01
5.100000e-02	5.700000e-02	4.796000e+00	1.159006e-01	1.159006e-01
5.700000e-02	6.400000e-02	4.443000e+00	1.045758e-01	1.045758e-01
6.400000e-02	7.200000e-02	4.113000e+00	9.196948e-02	9.196948e-02
7.200000e-02	8.100000e-02	3.766000e+00	8.404173e-02	8.404173e-02
8.100000e-02	9.100000e-02	3.400000e+00	8.628233e-02	8.628233e-02
9.100000e-02	1.020000e-01	3.231000e+00	7.318055e-02	7.318055e-02
1.020000e-01	1.140000e-01	2.833000e+00	6.416604e-02	6.416604e-02
1.140000e-01	1.280000e-01	2.555000e+00	5.701716e-02	5.701716e-02
