# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $66\,\text{GeV}\leq m_{\ell\ell} < 116\,\text{GeV}$, $0.4\leq |y_{\ell\ell}| < 0.8$
RatioPlotReference=/ATLAS_2015_I1408516/d06-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$\phi^\ast_\eta$
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d}\phi^\ast_\eta$
XMin=0.001
DrawOnly=/ATLAS_2015_I1408516/d06-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d06-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100_PSon-0.yoda/ATLAS_2015_I1408516/d06-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d06-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d06-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100_PSon-0.yoda/ATLAS_2015_I1408516/d06-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d06-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d06-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	9.405000e+00	4.309912e-02	4.309912e-02
4.000000e-03	8.000000e-03	9.230000e+00	3.915957e-02	3.915957e-02
8.000000e-03	1.200000e-02	9.055000e+00	3.841711e-02	3.841711e-02
1.200000e-02	1.600000e-02	8.813000e+00	3.739039e-02	3.739039e-02
1.600000e-02	2.000000e-02	8.530000e+00	3.618973e-02	3.618973e-02
2.000000e-02	2.400000e-02	8.163000e+00	4.241619e-02	4.241619e-02
2.400000e-02	2.900000e-02	7.849000e+00	3.330049e-02	3.330049e-02
2.900000e-02	3.400000e-02	7.382000e+00	3.131917e-02	3.131917e-02
3.400000e-02	3.900000e-02	6.874000e+00	2.916391e-02	2.916391e-02
3.900000e-02	4.500000e-02	6.410000e+00	2.719533e-02	2.719533e-02
4.500000e-02	5.100000e-02	5.850000e+00	2.481945e-02	2.481945e-02
5.100000e-02	5.700000e-02	5.427000e+00	2.819952e-02	2.819952e-02
5.700000e-02	6.400000e-02	4.933000e+00	2.092895e-02	2.092895e-02
6.400000e-02	7.200000e-02	4.503000e+00	1.910461e-02	1.910461e-02
7.200000e-02	8.100000e-02	4.020000e+00	1.705542e-02	1.705542e-02
8.100000e-02	9.100000e-02	3.585000e+00	1.520987e-02	1.520987e-02
9.100000e-02	1.020000e-01	3.146000e+00	1.334735e-02	1.334735e-02
1.020000e-01	1.140000e-01	2.786000e+00	1.182000e-02	1.182000e-02
1.140000e-01	1.280000e-01	2.380000e+00	1.009748e-02	1.009748e-02
1.280000e-01	1.450000e-01	2.034000e+00	8.629531e-03	8.629531e-03
1.450000e-01	1.650000e-01	1.694000e+00	7.187033e-03	7.187033e-03
1.650000e-01	1.890000e-01	1.396000e+00	5.922726e-03	5.922726e-03
1.890000e-01	2.190000e-01	1.115000e+00	4.730544e-03	4.730544e-03
2.190000e-01	2.580000e-01	8.530000e-01	3.908937e-03	3.908937e-03
2.580000e-01	3.120000e-01	6.160000e-01	2.822867e-03	2.822867e-03
3.120000e-01	3.910000e-01	4.100000e-01	2.090598e-03	2.090598e-03
3.910000e-01	5.240000e-01	2.400000e-01	1.419859e-03	1.419859e-03
5.240000e-01	6.950000e-01	1.240000e-01	8.680000e-04	8.680000e-04
6.950000e-01	9.180000e-01	6.290000e-02	4.952751e-04	4.952751e-04
9.180000e-01	1.153000e+00	3.300000e-02	3.283459e-04	3.283459e-04
1.153000e+00	1.496000e+00	1.750000e-02	2.025771e-04	2.025771e-04
1.496000e+00	1.947000e+00	8.500000e-03	1.211064e-04	1.211064e-04
1.947000e+00	2.522000e+00	4.400000e-03	7.721969e-05	7.721969e-05
2.522000e+00	3.277000e+00	2.290000e-03	4.868607e-05	4.868607e-05
3.277000e+00	5.000000e+00	9.940000e-04	2.222652e-05	2.222652e-05
5.000000e+00	1.000000e+01	3.090000e-04	7.113714e-06	7.113714e-06
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d06-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d06-x01-y01
