# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $46\,\text{GeV}\leq m_{\ell\ell} < 66\,\text{GeV}$, $1.6\leq |y_{\ell\ell}| < 2.4$
RatioPlotReference=/ATLAS_2015_I1408516/d04-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$\phi^\ast_\eta$
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d}\phi^\ast_\eta$
XMin=0.001
DrawOnly=/ATLAS_2015_I1408516/d04-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d04-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d04-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp0008-0.yoda/ATLAS_2015_I1408516/d04-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d04-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdampDef-0.yoda/ATLAS_2015_I1408516/d04-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-0.yoda/ATLAS_2015_I1408516/d04-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp0008-0.yoda/ATLAS_2015_I1408516/d04-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	6.724000e+00	3.837985e-01	3.837985e-01
4.000000e-03	8.000000e-03	6.620000e+00	3.000255e-01	3.000255e-01
8.000000e-03	1.200000e-02	6.546000e+00	2.749320e-01	2.749320e-01
1.200000e-02	1.600000e-02	6.493000e+00	2.714664e-01	2.714664e-01
1.600000e-02	2.000000e-02	6.632000e+00	2.906753e-01	2.906753e-01
2.000000e-02	2.400000e-02	6.727000e+00	2.692481e-01	2.692481e-01
2.400000e-02	2.900000e-02	6.531000e+00	2.425280e-01	2.425280e-01
2.900000e-02	3.400000e-02	6.023000e+00	2.295071e-01	2.295071e-01
3.400000e-02	3.900000e-02	6.204000e+00	2.292963e-01	2.292963e-01
3.900000e-02	4.500000e-02	5.461000e+00	2.064374e-01	2.064374e-01
4.500000e-02	5.100000e-02	5.384000e+00	2.108714e-01	2.108714e-01
5.100000e-02	5.700000e-02	5.016000e+00	1.956240e-01	1.956240e-01
5.700000e-02	6.400000e-02	4.760000e+00	1.705648e-01	1.705648e-01
6.400000e-02	7.200000e-02	4.364000e+00	1.703638e-01	1.703638e-01
7.200000e-02	8.100000e-02	3.733000e+00	1.448192e-01	1.448192e-01
8.100000e-02	9.100000e-02	3.600000e+00	1.216033e-01	1.216033e-01
9.100000e-02	1.020000e-01	3.201000e+00	1.126279e-01	1.126279e-01
1.020000e-01	1.140000e-01	2.927000e+00	1.065846e-01	1.065846e-01
1.140000e-01	1.280000e-01	2.599000e+00	9.520999e-02	9.520999e-02
1.280000e-01	1.450000e-01	1.987000e+00	7.649305e-02	7.649305e-02
1.450000e-01	1.650000e-01	1.840000e+00	6.631662e-02	6.631662e-02
1.650000e-01	1.890000e-01	1.544000e+00	5.588342e-02	5.588342e-02
1.890000e-01	2.190000e-01	1.302000e+00	4.871638e-02	4.871638e-02
