# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $66\,\text{GeV}\leq m_{\ell\ell} < 116\,\text{GeV}$, $1.6\leq |y_{\ell\ell}| < 2.0$
RatioPlotReference=/ATLAS_2015_I1408516/d09-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$\phi^\ast_\eta$
YLabel=$1/\sigma$ $\text{d}\sigma/\text{d}\phi^\ast_\eta$
XMin=0.001
DrawOnly=/ATLAS_2015_I1408516/d09-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d09-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d09-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d09-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	9.378000e+00	6.891394e-02	6.891394e-02
4.000000e-03	8.000000e-03	9.264000e+00	6.145042e-02	6.145042e-02
8.000000e-03	1.200000e-02	9.014000e+00	5.979211e-02	5.979211e-02
1.200000e-02	1.600000e-02	8.875000e+00	6.700478e-02	6.700478e-02
1.600000e-02	2.000000e-02	8.592000e+00	6.486818e-02	6.486818e-02
2.000000e-02	2.400000e-02	8.207000e+00	6.196149e-02	6.196149e-02
2.400000e-02	2.900000e-02	7.721000e+00	5.121532e-02	5.121532e-02
2.900000e-02	3.400000e-02	7.439000e+00	4.934474e-02	4.934474e-02
3.400000e-02	3.900000e-02	6.755000e+00	5.099913e-02	5.099913e-02
3.900000e-02	4.500000e-02	6.394000e+00	4.241300e-02	4.241300e-02
4.500000e-02	5.100000e-02	5.878000e+00	4.437793e-02	4.437793e-02
5.100000e-02	5.700000e-02	5.309000e+00	4.008207e-02	4.008207e-02
5.700000e-02	6.400000e-02	4.899000e+00	3.698664e-02	3.698664e-02
6.400000e-02	7.200000e-02	4.508000e+00	2.990269e-02	2.990269e-02
7.200000e-02	8.100000e-02	4.011000e+00	3.001558e-02	3.001558e-02
8.100000e-02	9.100000e-02	3.574000e+00	2.968787e-02	2.968787e-02
9.100000e-02	1.020000e-01	3.159000e+00	2.384993e-02	2.384993e-02
1.020000e-01	1.140000e-01	2.806000e+00	2.061980e-02	2.061980e-02
1.140000e-01	1.280000e-01	2.407000e+00	1.768777e-02	1.768777e-02
1.280000e-01	1.450000e-01	2.072000e+00	1.522603e-02	1.522603e-02
1.450000e-01	1.650000e-01	1.730000e+00	1.306121e-02	1.306121e-02
1.650000e-01	1.890000e-01	1.417000e+00	1.069812e-02	1.069812e-02
1.890000e-01	2.190000e-01	1.137000e+00	9.780844e-03	9.780844e-03
2.190000e-01	2.580000e-01	8.710000e-01	7.492625e-03	7.492625e-03
2.580000e-01	3.120000e-01	6.430000e-01	5.341159e-03	5.341159e-03
3.120000e-01	3.910000e-01	4.280000e-01	3.681795e-03	3.681795e-03
3.910000e-01	5.240000e-01	2.440000e-01	2.222946e-03	2.222946e-03
5.240000e-01	6.950000e-01	1.250000e-01	1.346291e-03	1.346291e-03
6.950000e-01	9.180000e-01	6.210000e-02	7.976889e-04	7.976889e-04
9.180000e-01	1.153000e+00	3.050000e-02	5.011661e-04	5.011661e-04
1.153000e+00	1.496000e+00	1.480000e-02	2.792458e-04	2.792458e-04
1.496000e+00	1.947000e+00	6.430000e-03	1.544539e-04	1.544539e-04
1.947000e+00	2.522000e+00	2.740000e-03	8.621209e-05	8.621209e-05
2.522000e+00	3.277000e+00	1.310000e-03	5.054971e-05	5.054971e-05
3.277000e+00	5.000000e+00	5.100000e-04	2.140178e-05	2.140178e-05
5.000000e+00	1.000000e+01	1.410000e-04	6.327743e-06	6.327743e-06
# END HISTO1D


# BEGIN HISTO1D //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d09-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-0.yoda/ATLAS_2015_I1408516/d09-x01-y01
ScaledBy=1.58335890499982003e-08
Title=POWHEG (hdamp=1.0, pTcut=10 GeV)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	1.146745e+02	7.513441e-01	7.513441e-01
