# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=$Z\rightarrow ee$, dressed level, $66\,\text{GeV}\leq m_{\ell\ell} < 116\,\text{GeV}$, $1.6 \leq |y_{\ell\ell}| < 2.0$
RatioPlotReference=/ATLAS_2015_I1408516/d33-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.05
XLabel=$p_\text{T}^{\ell\ell}$ [GeV]
YLabel=$\text{d}\sigma/\text{d} p_\text{T}^{\ell\ell}$ [pb GeV$^{-1}$]
XMin=0.9
DrawOnly=/ATLAS_2015_I1408516/d33-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49-0.yoda/ATLAS_2015_I1408516/d33-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d33-x01-y01
LegendYPos=0.3
Legend=1
LegendOnly=/ATLAS_2015_I1408516/d33-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1-pTmin49-0.yoda/ATLAS_2015_I1408516/d33-x01-y01 //afs/desy.de/user/m/mendizam/ATLAS/POWHEG/YODA_files/hdamp1_pTmin100-PSoff.yoda/ATLAS_2015_I1408516/d33-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2015_I1408516/d33-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2015_I1408516/d33-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.573000e+00	5.362061e-02	5.362061e-02
2.000000e+00	4.000000e+00	3.302000e+00	1.037375e-01	1.037375e-01
4.000000e+00	6.000000e+00	3.315000e+00	9.845048e-02	9.845048e-02
6.000000e+00	8.000000e+00	2.878000e+00	8.772000e-02	8.772000e-02
8.000000e+00	1.000000e+01	2.456000e+00	7.437261e-02	7.437261e-02
1.000000e+01	1.300000e+01	2.010000e+00	5.955844e-02	5.955844e-02
1.300000e+01	1.600000e+01	1.584000e+00	4.767814e-02	4.767814e-02
1.600000e+01	2.000000e+01	1.191000e+00	3.559078e-02	3.559078e-02
2.000000e+01	2.500000e+01	8.876000e-01	2.677552e-02	2.677552e-02
2.500000e+01	3.000000e+01	6.461000e-01	2.015376e-02	2.015376e-02
3.000000e+01	3.700000e+01	4.542000e-01	1.431271e-02	1.431271e-02
3.700000e+01	4.500000e+01	3.054000e-01	9.943104e-03	9.943104e-03
4.500000e+01	5.500000e+01	1.989000e-01	6.780127e-03	6.780127e-03
5.500000e+01	6.500000e+01	1.267000e-01	4.515215e-03	4.515215e-03
6.500000e+01	7.500000e+01	8.266000e-02	3.125816e-03	3.125816e-03
7.500000e+01	8.500000e+01	5.653000e-02	2.210460e-03	2.210460e-03
8.500000e+01	1.050000e+02	3.254000e-02	1.154138e-03	1.154138e-03
1.050000e+02	1.500000e+02	1.266000e-02	4.467025e-04	4.467025e-04
1.500000e+02	2.000000e+02	3.651000e-03	1.526886e-04	1.526886e-04
2.000000e+02	9.000000e+02	1.271000e-04	7.114195e-06	7.114195e-06
